SUPPLIER NAME,EMS CODE,DGP ITEM,EMS ITEM,BUYER CODE,BUYER NAME,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TTL,Life Cycle,Collabs,Project,Platform
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,0YTRK,AM3IV000101,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,DNXKT,AM3IS000311,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,X5DCY,AM3IV000E01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,66T87,AM3IV000I01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,V0FJX,AM3IV000B01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,F73RX,AM3IW000D01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,PDF96,AM3IW000A01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,W2H1J,AM3IW000G01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,DTN7N,AQ3IW000405,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,J3RH6,AM3IW000H02,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,269RM,AM3IW000502,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,C1FJV,AM3IW000602,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,90P75,AM3IX000202,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,9NNM2,AM3IX000102,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,7FY0T,AM3IW000C01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,M58Y4,AM3IW000801,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,N0G0C,AM3IW000E01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,CVC1Y,AM3IW000B01,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,C4NP8,AM3IW000901,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,857YM,AQ30S000115,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,M7T75,AM945000103,G868,"Li, Ena",9688,15202,3587,4998,5111,4691,5397,1558,545,649,0,0,51426,MP,1,TRIBUTO LNL;TRIBUTO QC;TRIBUTO MTL,XPS Notebook;Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,RGPC2,AM945000123,G868,"Li, Ena",6564,6474,6666,6682,5421,6720,7607,2514,468,461,60,0,49637,MP,1,TRIBUTO QC;TRIBUTO MTL,XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,YH5X6,AM96H000113,G868,"Li, Ena",6219,7563,7342,7662,6679,8199,8600,6408,2890,2174,60,0,63796,MP,1,TRIBUTO LNL;TRIBUTO QC;TRIBUTO MTL,XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,VC6DC,AM96H000103,G868,"Li, Ena",7759,14919,3952,4459,4407,4276,4362,3903,495,187,60,0,48779,MP,1,TRIBUTO LNL;TRIBUTO QC;TRIBUTO MTL,XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,75PPH,AM945000313,G868,"Li, Ena",2735,2469,2584,2398,1986,2482,2623,2148,1330,603,0,0,21358,MP,1,TRIBUTO LNL;TRIBUTO QC;TRIBUTO MTL,XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,CV0F5,AM945000303,G868,"Li, Ena",7280,2971,2319,2769,2409,2794,3030,1325,295,375,0,0,25567,MP,1,TRIBUTO LNL;TRIBUTO QC;TRIBUTO MTL,XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JP7DW,AM8YR000603,G868,"Li, Ena",118,0,120,212,0,0,0,0,0,0,0,0,450,LTB,1,PISTA ARL-H CS14;PISTA,Dell Laptops;XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JN33G,AM8YR000303,G868,"Li, Ena",10098,8866,5314,5358,1679,258,155,149,148,84,0,0,32109,MP,1,PISTA,XPS Notebook;Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,YCR52,AM8YR000313,G868,"Li, Ena",1674,2902,1903,4129,267,8,2,0,0,0,0,0,10885,MP,1,PISTA,XPS Notebook;Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,FRT89,AM8YR000614,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,PISTA ARL-H CS14;PISTA,Dell Laptops;XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,WXK88,AM8YR000503,G868,"Li, Ena",9972,8856,5185,5318,2236,2825,2321,1512,1656,809,0,0,40690,MP,1,PISTA ARL-H CS14;PISTA,Dell Laptops;XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,T1YF3,AM8YR000514,G868,"Li, Ena",1675,2906,1906,4265,679,1872,1571,987,1092,525,0,0,17478,MP,1,PISTA ARL-H CS14;PISTA,Dell Laptops;XPS Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,305YY,AM3MM000V12,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,9VR67,AM3MM000V22,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,XGG0P,AM3MM000V02,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,6VXVX,AM3MM001212,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,K74X1,AM3MN000502,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,F23H9,AM3MM001202,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,6X0N7,AM3MM000202,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,VP10G,AM3MN000522,G868,"Li, Ena",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17,Precision
